trial_id,institution_id,relationship_type
ISRCTN18317152,INST_015,collaboration
ISRCTN18317152,INST_029,collaboration
ISRCTN18317152,INST_030,collaboration
NCT03757299,INST_010,funding
NCT03757299,INST_038,collaboration
NCT04242823,INST_002,collaboration
NCT04242823,INST_004,collaboration
NCT04242823,INST_033,collaboration
NCT04666311,INST_007,collaboration
NCT04666311,INST_012,funding
NCT04666311,INST_013,collaboration
NCT04666311,INST_014,collaboration
NCT04666311,INST_019,government_partner
NCT04666311,INST_027,collaboration
NCT04666311,INST_028,industry_partner
NCT04666311,INST_031,collaboration
NCT05139940,INST_005,funding
NCT05139940,INST_006,collaboration
NCT05438576,INST_008,funding
NCT05438576,INST_011,funding
NCT05438576,INST_018,funding
NCT05438576,INST_021,collaboration
NCT05438576,INST_022,funding
NCT05526885,INST_016,industry_partner
NCT06042543,INST_017,collaboration
NCT06042543,INST_020,funding
NCT06042543,INST_023,industry_partner
NCT06042543,INST_034,collaboration
NCT06042543,INST_036,collaboration
NCT06552247,INST_009,industry_partner
PACTR202101512465690,INST_001,funding
PACTR202101512465690,INST_024,funding
PACTR202502499779176,INST_003,funding
PACTR202502499779176,INST_025,funding
PACTR202502499779176,INST_026,industry_partner
PACTR202502499779176,INST_032,collaboration
